 n        a_n        b_n    x_(n+1)     f(a_n)    f(b_n)  f(x_(n+1))  delta=(b-a)/2^(n+1)
24 -2.4015456 -2.4015455 -2.4015456 -2.3705876e-08 1.0041225e-07  3.8353187e-08          2.9802322e-08
25 -2.4015456 -2.4015456 -2.4015456 -2.3705876e-08 3.8353187e-08  7.3236553e-09          1.4901161e-08
26 -2.4015456 -2.4015456 -2.4015456 -2.3705876e-08 7.3236553e-09 -8.1911105e-09          7.4505806e-09
27 -2.4015456 -2.4015456 -2.4015456 -8.1911105e-09 7.3236553e-09 -4.3372760e-10          3.7252903e-09
28 -2.4015456 -2.4015456 -2.4015456 -4.3372760e-10 7.3236553e-09  3.4449638e-09          1.8626451e-09
29 -2.4015456 -2.4015456 -2.4015456 -4.3372760e-10 3.4449638e-09  1.5056181e-09          9.3132257e-10
Giá trị nghiệm với 5 chữ số thập phân là: -2.40155
Sai số tương đối là: 5.000931322574616e-06
delta_x = 5e-08
 n       a_n       b_n   x_(n+1)      f(a_n)    f(b_n)  f(x_(n+1))  delta_x=|x_(n+1)-x_n|
 0 6.0000000 7.0000000 6.5000000 -23.8382465 9.9709598  -9.7296400          6.5000000e+00
 1 6.5000000 7.0000000 6.7500000  -9.7296400 9.9709598  -0.6029928          2.5000000e-01
 2 6.7500000 7.0000000 6.8750000  -0.6029928 9.9709598   4.4997759          1.2500000e-01
 3 6.7500000 6.8750000 6.8125000  -0.6029928 4.4997759   1.9027653          6.2500000e-02
 4 6.7500000 6.8125000 6.7812500  -0.6029928 1.9027653   0.6385315          3.1250000e-02
 5 6.7500000 6.7812500 6.7656250  -0.6029928 0.6385315   0.0149371          1.5625000e-02
 6 6.7500000 6.7656250 6.7578125  -0.6029928 0.0149371  -0.2947351          7.8125000e-03
 7 6.7578125 6.7656250 6.7617188  -0.2947351 0.0149371  -0.1400759          3.9062500e-03
 8 6.7617188 6.7656250 6.7636719  -0.1400759 0.0149371  -0.0626136          1.9531250e-03
 9 6.7636719 6.7656250 6.7646484  -0.0626136 0.0149371  -0.0238493          9.7656250e-04
10 6.7646484 6.7656250 6.7651367  -0.0238493 0.0149371  -0.0044589          4.8828125e-04
